mls_number	Originating_MLS	status	address	bedrooms	bathrooms	list_price	sold_price	pending_date	settled_date	county	township	subdivision	school_district	age	sqft	total_rooms	fireplace_yn	basement_yn	garage_yn	est_taxes	acres	tax_year	assessment	condo_hoa_yn	assoc_fee_freq	zip_code	unit_number	dom	remarks	picture_url	design	style	exterior	heat_cool_util	garage_parking	basement_type	attic	interior_features	exterior_features	unit_floor_number	living_room_dim	dining_room_dim	kitchen_dim	family_room_dim	main_bedroom_dim	second_bedroom_dim	third_bedroom_dim	fourth_bedroom_dim	sold_concess	soldterms	newconst_yn	sellerconcessions	cnty	dtmodified	pid	pmp	certifications	additionalbankowned	additionalthirdpartyapproval	additionalshortsale	sellerconcessionsamount	finalshortsale	finalthirdpartyapproval	finalbankowned	distance	AbovrGrIntSqFt	BelowGrIntSqFt	HomeBuilt	BasemtFtPrintPercent	BasemtFinPrintPercent	Laundry_room
6204281	TREND	STL	417 Gordon Rd, Robbinsville, NJ	4	2.0	$379,777	$360,000	01/09/2015	02/06/2015	Mercer County	Robbinsville Twp	None Available	Robbinsville Twp	999			N	Y	Y	$8,757	1.00	2014	305000	N		08691-2308		630	The renovation is complete!!! Four bedroom, 2 full bath, and an attached 2 car garage. Gorgeous, gourmet kitchen with full stainless appliance package. Two brand new designer full bathrooms. House is fitted with all of the best finishes....granite, ceramic, gleaming hardwoods and new carpeting. Not only does the house sit on a full acre, it also has an inground pool with new liner and new brushed concrete and pool house.  Don't miss your chance!!   We have added a full country Porch and a full finished basement to the Plans.  The Upstairs which has two very large bedrooms will has a new Jack & Jill bathroom to share which is over 18 ft. long.  Also the house has new electric, new central air, and a new septic system.  House is like new construction and will has a warranty!  Please come see this beautiful home.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6204281	2-Story	Cape	WoodExt, StoneExt	OilHeat, HotAirHeat, CentralAir, ElectricHtWt, PublicWater, OnSiteSeptic, 100-150AmpEl	2-CarGarage, Att/BuiltInG, InsideAccess, 3+CarParking, DrivewayPrk	FullBasement		CeilngFan(s), CableTVWired, StallShower	StreetLights		17 x 16		19 x 12	30 x 20	19 x 15	19 x 15	14 x 13	12 x 10	N	Conv	N		211	02/09/2015	600834568	678				False		False	False	False				N				
6341536	TREND	STL	109 Richardson Rd, Robbinsville, NJ	4	2.1	$415,000	$415,000	02/06/2015	03/27/2015	Mercer County	Robbinsville Twp	None Available	Robbinsville Twp	37	2,392	10	Y	Y	Y	$12,851	0.70	2014	447600	N		08691-3661		353	This home has given the sellers many years of great memories and now it's ready for its new owners to make theirs too. The expanded first floor has a family room open to both the kitchen and large 4-season/rec room. A great space for relaxing, watching movies (surround sound included) or entertaining.  The yard is private, with mature trees and fencing - another great place to gather with a deck, blue-stone patio, hot tub, and enough lawn space for a soccer game.  The cook will love the updated kitchen with custom cabinets, granite counters, copper sink, breakfast area, 5-burner stove, and French door refrigerator.  The formal living and dining rooms have beautiful hardwood floors. The master bedroom has a walk-in closet and a remodeled bath with a glass and marble shower. Three more bedrooms and another full bath complete the upstairs and a partially finished basement makes a great play room, gym or office.  Mornings are easy here - the school bus comes right to your driveway.  There's more…beautiful landscaping and retaining wall, mature trees in back for privacy. The Sundance 8-person hot tub you can be used year round and is easy to maintain. This Robbinsville gem has been upgraded and lovingly maintained: 1997 family room remodel, 1999 siding, 3/8" insulation, soffits, downspouts and shudders, doors, 2000 siding & windows, 2001 kitchen remodel, tile floors, 2005 master bath, sunroom, roof, 2011 landscape, front porch, retaining wall, driveway, 2013 granite counters, copper sink, Gutter Helmets. Close to shopping centers and restaurants, highly rated school system.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6341536	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	2-CarGarage, Att/BuiltInG, InsideAccess, 3+CarParking	FullBasement		SecuritySys, CeilngFan(s), CableTVWired	HotTubExtFt		20 x 13	12 x 11	17 x 11	19 x 11	17 x 12	12 x 10	14 x 9	10 x 10	Y	Conv	N	Repair credit	211	03/28/2015	600977405	353				False	2500	False	False	False				N				
6389554	TREND	STL	208 Andover Pl, Robbinsville, NJ	2	2.0	$205,000	$210,000	01/14/2015	02/26/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	27	1,040		Y	N	N	$4,998	0.00	2014	174100	Y	M	08691-3422		247	Super Price Reduction!  More than you expect! This large 2-bedroom, 2-full bath condo provides space to spread out. Occupying the second and third levels you get a feeling of living in the tree tops.  The two-story family room is framed by windows and a wood-burning fireplace is the focal point of the room.  Adjacent is the formal dining area with stained glass chandelier providing ample space for entertaining. Sliders lead out to a private deck with storage closet. The deck is a perfect place to perch when reading a book. An updated eat-in kitchen features granite counter tops and tile back splash. The washer and dryer are conveniently located in the utility closet. The guest bedroom has a full bath with ceramic tiles located directly across the hall. Further down the hall you discover the wonderful master bedroom retreat with en suite bath featuring large shower and ceramic tile, walk-in closet and second closet. Up the staircase, the spacious loft is a great place to oversee all.  Additionally, there is an office and large storage closet. Home features four ceiling fans and a four year young HVAC system!  The Robbinsville community offers a pool and there is plenty of parking within steps of your front door. The schools are very highly rated and the location is super for commuters.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6389554	OtherDesign	OtherStyle	ShingleExt	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	NoGarage, ParkingLot	NoBasement					22 x 20		11 x 10		15 x 13	9 x 8			Y	FHA 203(b)	N	closing costs	211	02/26/2015	601026583	247				False	5000	False	False	False				N				
6391332	TREND	STL	968 Robbinsville Edinburg Rd 111, Robbinsville, NJ	2	2.0	$277,000	$285,486	12/23/2014	02/27/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	0	1,481		N	N	Y	$	0.00	2013	0	Y	M	08691	111	223	Spacious end unit provides an abundance of light in this 2 BR, 2 BA condo with large master bedroom with walk-in closet and adjoining master bath.  Kitchen features center island and is open to the living and dining areas.  The 2nd bedroom also has a walk-in closet and adjoins the hall bathroom.  The storage unit is located inside this unit for easy access.  This 1,481 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances.  The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen® fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units, floor plans may vary.  Visit the Union Lofts Sales Center at 2 N. Commerce Sq.  Office open Tues. - Fri. 10 am - 5 pm.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391332	1-Story	LoftWithBdrms	SyntheticStucco	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot	NoBasement		Elevator		1	23 x 11		12 x 11		16 x 14	14 x 12			N	Conv	Y		211	03/02/2015	601028423	223				False		False	False	False				Y				
6391575	TREND	STL	968 Robbinsville Edinburg Rd 212, Robbinsville, NJ	2	2.0	$282,705	$279,000	05/08/2015	06/18/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	0	1,392		N	N	Y	$	0.00	2013	0	Y	M	08691	212	359	The abundance of storage space will impress you as you tour this unit.  The master bedroom has a large walk-in closet and a second closet as well.  The master bath is attached to the master bedroom and has a large shower stall.  The "U" shaped kitches offers a raised breakfast bar and is open to the spacious living/dining spaces.  The second bedroom also has a large walk-in closet.  This 1,392 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances.  The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen® fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units, floor plans may vary.  Visit the Union Lofts Sales Center at 2 N. Commerce Sq.  Office open Tues. - Fri. 10 am - 5 pm.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391575	1-Story	LoftWithBdrms	SyntheticStucco	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot	NoBasement		Elevator		2	13 x 23		10 x 12		13 x 16	11 x 15			N	Conv	Y		211	06/18/2015	601028675	359				False		False	False	False				Y				
6391578	TREND	STL	968 Robbinsville Edinburg Rd 313, Robbinsville, NJ	2	2.0	$262,000	$271,283	03/03/2015	07/01/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	0	1,293		N	N	Y	$	0.00	2013	0	Y	M	08691	313	293	NEW CONSTRUCTION!  Visit the Union Lofts Sales Center at 2 N. Commerce Sq.  Office open Tues. - Fri. 10 am - 5 pm.  Wonderful, third floor condo has many desirable features. The kitchen has a center island and has the open floor plan to the dining/living spaces that buyers appreciate.  The master bedroom is large and has 2 closets, 1 is a walk-in.  The master bathroom has double sinks, large shower and linen closet.  The 2nd bedroom has 2 closets and has an entrance to the hall bathroom.  This 1,293 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances.  The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen® fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units , floor plans may vary.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391578	1-Story	LoftWithBdrms	SyntheticStucco	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot	NoBasement		Elevator		3	12 x 23		8 x 13		12 x 16	11 x 12			N	Conv	Y		211	07/06/2015	601028678	293				False		False	False	False				Y				
6391584	TREND	STL	968 Robbinsville Edinburg Rd 206, Robbinsville, NJ	1	1.0	$229,000	$229,000	04/01/2015	06/22/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	0	1,019		N	N	Y	$	0.00	2013	0	Y	M	08691	206	322	NEW CONSTRUCTION!  Visit the Union Lofts Sales Center at 2 N. Commerce Sq.  Office open Tues. - Fri. 10 am - 5 pm. *QUICK DELIVERY CONDO*  This unit is ready for a quick delivery.  This is a unique floorplan featuring 1 bed w/den which can be used as an office/library or a 2nd living space.  This 1,019 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances.  The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen® fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units, floor plans may vary.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391584	1-Story	LoftWithBdrms	SyntheticStucco	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot	NoBasement		Elevator		2	16 x 12		12 x 10		12 x 11				N	Cash	Y		211	06/24/2015	601028684	322				False		False	False	False				Y				
6391586	TREND	STL	968 Robbinsville Edinburg Rd 301, Robbinsville, NJ	2	2.0	$264,000	$282,938	02/14/2015	07/01/2015	Mercer County	Robbinsville Twp	Town Center	Robbinsville Twp	0	1,318		N	N	Y	$	0.00	2013	0	Y	M	08691	301	276	Bright and open 2 BR, 2 BA with beautiful gourmet kitchen with island overlooking airy living/dining area great for entertaining. Master bedroom with double closets and adjoining bath with oversized shower. Second bedroom has double closets and adjoining bath also. Large laundry room and storage closet. This 1,318 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances. The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units , floor plans may vary.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391586	1-Story	Contemporary	BrickExt	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot, ParkingGarage	NoBasement				3	24 x 12		13 x 9		16 x 12	12 x 11			N	Conv	Y		211	07/02/2015	601028686	276				False		False	False	False				Y				
6391587	TREND	STL	968 Robbinsville Edinburg Rd 309, Robbinsville, NJ	2	2.0	$262,251	$268,151	03/17/2015	05/15/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	0	1,242		N	N	Y	$	0.00	2013	0	Y	M	08691	309	307	Imagine yourself living in this 3rd floor condo with garage and elevator access.  This floor plan has a wide open living/dining/kitchen area.  The kitchen is "U"-shaped with casual seating at the raised breakfast bar.  Master bedroom offers 2 closets and attached master bath with double sinks.  The second bedroom is located on the opposite side of the living area and features 2 closets.  The laundry room is oversized to include in unit storage.  This 1,242 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas.  The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances.  The bathrooms  feature standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen® fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units , floor plans may vary.  Visit the Union Lofts Sales Center at 2 N. Commerce Sq.  Office open Tues. - Fri. 10 am - 5 pm.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391587	1-Story	LoftWithBdrms	SyntheticStucco	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot	NoBasement		Elevator		3	12 x 22		10 x 10		14 x 14	11 x 10			Y	FHA 203(b)	Y	Towards Buyer Closing Costs	211	05/28/2015	601028687	307				False	3500	False	False	False				Y				
6391597	TREND	STL	968 Robbinsville Edinburg Rd 306, Robbinsville, NJ	1	1.0	$229,000	$229,000	03/31/2015	04/30/2015	Mercer County	Robbinsville Twp	Town Center	Robbinsville Twp	0	980		N	N	Y	$	0.00	2013	0	Y	M	08691	306	321	Open and bright 1 BR, 1 BA with den on 3rd floor. Extra large kitchen overlooks the living/dining area great for entertaining. Master bedroom with walk-in closet and adjoining. Large laundry room and storage closet. This 980 Sq. Ft. condo is available in the upscale, elegant and beautiful, new construction building at the Union Lofts in the desirable Town Center Development in Robbinsville, NJ.  Enjoy living a carefree lifestyle in this brand new building with amenities galore including a private parking garage on the ground level with access to an elevator that serves each floor. Enjoy standard features such as 9' ceilings and hardwood flooring in foyer, kitchen and living areas. The kitchen comes standard with birch cabinetry, granite counters and Jenn-Aire stainless steel appliances. The bathroom features standard ceramic tile on floors and tub and shower surrounds, birch cabinets and chrome Moen fixtures.  A wide array of designer, optional features are available to further customize your home.  The exciting, walkable Town Center Community boasts retail stores, restaurants and services as well as community parks, lakes and township sponsored events.  Easy access to NYC, Philadelphia, Princeton, beach areas, Train stations, Major highways: NJ Tpk, Routes 295, 195 and 130. Don't miss out on this wonderful way of life!  Interior photos represent decorated model units, floor plans may vary.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6391597	1-Story	Contemporary	BrickExt	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	1-CarGarage, ParkingLot, ParkingGarage	NoBasement				3	17 x 12		12 x 10		12 x 11				N	Conv	Y		211	05/01/2015	601028697	321				False		False	False	False				Y				
